bank_name,year,quarter,fiscal_quarter,car,cost_to_income,debt_to_equity,liquidity_coverage,npa_ratio,roa,crisis_label
BANK OF MAHARASHTRA,2021,Q1,FY2021-Q1,13.8247,37.2652,13.326,148.2159,3.8913,0.5066,0
BANK OF MAHARASHTRA,2021,Q2,FY2021-Q2,14.0596,37.8767,13.317,150.3107,3.4358,0.5345,0
BANK OF MAHARASHTRA,2021,Q3,FY2021-Q3,14.3399,39.8472,13.7998,151.3501,2.9181,0.4306,0
BANK OF MAHARASHTRA,2021,Q4,FY2021-Q4,14.7073,42.4607,14.3934,151.0,2.4279,0.3135,0
BANK OF MAHARASHTRA,2022,Q1,FY2022-Q1,15.1579,45.3037,15.044,144.2946,1.6809,0.305,0
BANK OF MAHARASHTRA,2022,Q2,FY2022-Q2,15.5914,45.3707,15.0734,141.342,1.38,0.3539,0
BANK OF MAHARASHTRA,2022,Q3,FY2022-Q3,16.121,44.1393,14.9319,138.0183,1.1443,0.453,0
BANK OF MAHARASHTRA,2022,Q4,FY2022-Q4,16.7272,42.5457,14.8459,135.0,0.9496,0.5748,0
BANK OF MAHARASHTRA,2023,Q1,FY2023-Q1,17.1711,37.867,15.2706,130.7164,0.5964,0.7704,0
BANK OF MAHARASHTRA,2023,Q2,FY2023-Q2,17.6458,35.1945,15.3658,129.309,0.4491,0.9029,0
BANK OF MAHARASHTRA,2023,Q3,FY2023-Q3,18.0771,32.5356,15.4077,128.4721,0.3297,1.0294,0
BANK OF MAHARASHTRA,2023,Q4,FY2023-Q4,18.4121,30.9131,15.4121,128.0,0.2448,1.1495,0
BANK OF MAHARASHTRA,2024,Q1,FY2024-Q1,17.6416,31.749,15.0488,127.413,0.1952,1.2327,0
BANK OF MAHARASHTRA,2024,Q2,FY2024-Q2,17.5742,31.6941,14.7821,127.2345,0.1773,1.351,0
BANK OF MAHARASHTRA,2024,Q3,FY2024-Q3,17.5427,31.8866,14.3709,127.1137,0.1808,1.4626,0
BANK OF MAHARASHTRA,2024,Q4,FY2024-Q4,17.6407,32.5822,13.9288,127.0,0.1958,1.5675,0
BANK OF MAHARASHTRA,2025,Q1,FY2025-Q1,18.1392,32.9114,12.8935,126.2425,0.2171,1.5496,0
BANK OF MAHARASHTRA,2025,Q2,FY2025-Q2,18.5876,32.6431,12.4016,125.9905,0.2242,1.649,0
BANK OF MAHARASHTRA,2025,Q3,FY2025-Q3,19.456,31.2928,11.8908,125.5933,0.2138,1.742,0
BANK OF MAHARASHTRA,2025,Q4,FY2025-Q4,20.838,29.0521,11.4598,125.0,0.1762,1.8288,0
CANARA BANK,2016,Q1,FY2016-Q1,10.827,77.7832,14.1146,127.7179,4.0548,0.2914,0
CANARA BANK,2016,Q2,FY2016-Q2,11.4271,57.1557,14.8615,124.2046,4.2314,0.3801,0
CANARA BANK,2016,Q3,FY2016-Q3,11.9747,42.1875,15.2904,122.0377,4.6515,0.4122,0
CANARA BANK,2016,Q4,FY2016-Q4,12.4743,32.6775,15.5408,121.0,5.2572,0.3971,0
CANARA BANK,2017,Q1,FY2017-Q1,12.6822,27.0949,15.7805,122.0745,7.7712,0.1587,0
CANARA BANK,2017,Q2,FY2017-Q2,12.9576,25.1583,15.718,122.6441,8.4275,0.0617,0
CANARA BANK,2017,Q3,FY2017-Q3,13.2015,25.721,15.521,123.6916,9.1099,-0.0536,0
CANARA BANK,2017,Q4,FY2017-Q4,13.4183,28.5062,15.3277,125.0,9.7606,-0.1776,0
CANARA BANK,2018,Q1,FY2018-Q1,12.9163,39.6819,15.3257,127.8521,11.466,-0.4156,0
CANARA BANK,2018,Q2,FY2018-Q2,12.9312,43.4732,15.185,129.0309,11.7266,-0.5441,0
CANARA BANK,2018,Q3,FY2018-Q3,12.9312,46.4559,15.093,129.8192,11.7876,-0.6526,0
CANARA BANK,2018,Q4,FY2018-Q4,12.921,48.7213,15.1872,130.0,11.5914,-0.7315,0
CANARA BANK,2019,Q1,FY2019-Q1,12.1385,48.9358,16.1925,128.8857,10.7583,-0.6486,0
CANARA BANK,2019,Q2,FY2019-Q2,12.0144,47.6581,16.5153,128.1072,10.0226,-0.6504,0
CANARA BANK,2019,Q3,FY2019-Q3,11.9783,45.3533,16.749,127.6252,9.2505,-0.621,0
CANARA BANK,2019,Q4,FY2019-Q4,12.0785,43.4848,16.8835,128.0,8.5858,-0.5643,0
CANARA BANK,2020,Q1,FY2020-Q1,12.1102,42.4119,16.8133,134.1238,8.4359,-0.2836,0
CANARA BANK,2020,Q2,FY2020-Q2,12.3638,41.2903,16.5827,136.7151,8.1211,-0.1798,0
CANARA BANK,2020,Q3,FY2020-Q3,12.6845,40.393,16.279,139.8238,7.998,-0.0807,0
CANARA BANK,2020,Q4,FY2020-Q4,13.0123,40.4012,16.1181,143.0,8.0376,0.0,0
CANARA BANK,2021,Q1,FY2021-Q1,12.9051,42.8868,16.6175,148.2127,8.8742,0.1037,0
CANARA BANK,2021,Q2,FY2021-Q2,13.0424,43.1201,16.7455,150.3074,8.9477,0.1423,0
CANARA BANK,2021,Q3,FY2021-Q3,13.2245,43.0515,16.838,151.3483,8.94,0.1733,0
CANARA BANK,2021,Q4,FY2021-Q4,13.4995,43.2699,16.8986,151.0,8.7425,0.209,0
CANARA BANK,2022,Q1,FY2022-Q1,13.8048,43.5814,16.812,144.2955,7.784,0.311,0
CANARA BANK,2022,Q2,FY2022-Q2,14.1688,42.8273,16.6086,141.3428,7.1099,0.38,0
CANARA BANK,2022,Q3,FY2022-Q3,14.6184,41.5758,16.3132,138.0188,6.3932,0.4527,0
CANARA BANK,2022,Q4,FY2022-Q4,15.1235,40.6616,16.0922,135.0,5.7663,0.5225,0
CANARA BANK,2023,Q1,FY2023-Q1,15.425,39.2526,16.0867,130.7162,5.1059,0.599,0
CANARA BANK,2023,Q2,FY2023-Q2,15.7963,38.017,15.9959,129.3088,4.7629,0.6678,0
CANARA BANK,2023,Q3,FY2023-Q3,16.1647,36.5366,15.8677,128.4719,4.4693,0.741,0
CANARA BANK,2023,Q4,FY2023-Q4,16.514,35.4746,15.755,128.0,4.1412,0.8255,0
CANARA BANK,2024,Q1,FY2024-Q1,16.1627,33.8965,15.5164,127.4131,3.1367,0.9509,0
CANARA BANK,2024,Q2,FY2024-Q2,16.2757,32.6959,15.2963,127.2346,2.6472,1.0749,0
CANARA BANK,2024,Q3,FY2024-Q3,16.3987,31.3587,15.0114,127.1138,2.147,1.1997,0
CANARA BANK,2024,Q4,FY2024-Q4,16.5546,30.4617,14.7782,127.0,1.6937,1.3167,0
CANARA BANK,2025,Q1,FY2025-Q1,16.1358,29.6491,14.7409,126.2425,1.3638,1.2888,0
CANARA BANK,2025,Q2,FY2025-Q2,16.2307,28.8006,14.604,125.9904,1.1605,1.3665,0
CANARA BANK,2025,Q3,FY2025-Q3,16.4271,27.9215,14.5116,125.5932,1.1762,1.41,0
CANARA BANK,2025,Q4,FY2025-Q4,16.7475,27.5353,14.5791,125.0,1.4685,1.4108,0
CENTRAL BANK OF INDIA,2015,Q1,FY2015-Q1,14.1178,43.8587,18.3392,114.6447,1.1799,1.3042,0
CENTRAL BANK OF INDIA,2015,Q2,FY2015-Q2,12.6376,41.4049,16.742,116.049,2.0128,0.8423,0
CENTRAL BANK OF INDIA,2015,Q3,FY2015-Q3,11.6421,39.3117,15.5647,117.1481,2.7964,0.4857,0
CENTRAL BANK OF INDIA,2015,Q4,FY2015-Q4,11.0635,38.2094,14.8335,118.0,3.5342,0.2194,0
CENTRAL BANK OF INDIA,2016,Q1,FY2016-Q1,10.2323,38.7279,14.6641,119.563,5.6394,-0.1724,0
CENTRAL BANK OF INDIA,2016,Q2,FY2016-Q2,10.1506,38.2486,14.5454,120.0952,6.1848,-0.323,0
CENTRAL BANK OF INDIA,2016,Q3,FY2016-Q3,10.2811,37.8658,14.5932,120.5548,6.7057,-0.4278,1
CENTRAL BANK OF INDIA,2016,Q4,FY2016-Q4,10.556,38.2094,14.8335,121.0,7.2054,-0.5016,1
CENTRAL BANK OF INDIA,2017,Q1,FY2017-Q1,10.6263,41.3226,15.973,122.6889,9.0051,-0.5832,1
CENTRAL BANK OF INDIA,2017,Q2,FY2017-Q2,10.8654,41.7202,16.3131,123.2798,9.3333,-0.649,1
CENTRAL BANK OF INDIA,2017,Q3,FY2017-Q3,11.0472,41.9229,16.5605,124.0308,9.6591,-0.7283,1
CENTRAL BANK OF INDIA,2017,Q4,FY2017-Q4,11.1041,42.6416,16.7527,125.0,9.9858,-0.836,1
CENTRAL BANK OF INDIA,2018,Q1,FY2018-Q1,9.9913,46.5058,16.9536,127.6875,11.1445,-1.092,1
CENTRAL BANK OF INDIA,2018,Q2,FY2018-Q2,9.6603,46.9433,16.87,128.8606,11.2421,-1.2871,1
CENTRAL BANK OF INDIA,2018,Q3,FY2018-Q3,9.3516,47.2868,16.6547,129.7284,11.1777,-1.4898,1
CENTRAL BANK OF INDIA,2018,Q4,FY2018-Q4,9.1756,48.5552,16.4505,130.0,10.8669,-1.6824,1
CENTRAL BANK OF INDIA,2019,Q1,FY2019-Q1,9.0002,53.4486,16.2556,128.9298,9.7771,-1.676,1
CENTRAL BANK OF INDIA,2019,Q2,FY2019-Q2,9.1269,54.602,16.0623,128.1529,8.9579,-1.7914,1
CENTRAL BANK OF INDIA,2019,Q3,FY2019-Q3,9.3954,54.7209,15.8369,127.6495,8.1609,-1.8326,1
CENTRAL BANK OF INDIA,2019,Q4,FY2019-Q4,9.7541,54.2051,15.6793,128.0,7.5677,-1.7765,1
CENTRAL BANK OF INDIA,2020,Q1,FY2020-Q1,10.3701,49.4086,15.4999,134.112,7.69,-1.066,0
CENTRAL BANK OF INDIA,2020,Q2,FY2020-Q2,10.7528,46.1449,15.3468,136.7029,7.5747,-0.8058,0
CENTRAL BANK OF INDIA,2020,Q3,FY2020-Q3,11.2498,42.6761,15.0917,139.8173,7.5503,-0.5514,0
CENTRAL BANK OF INDIA,2020,Q4,FY2020-Q4,11.8958,40.7051,14.7821,143.0,7.4698,-0.3657,0
CENTRAL BANK OF INDIA,2021,Q1,FY2021-Q1,13.0966,42.6516,13.9069,148.2159,7.0327,-0.2279,0
CENTRAL BANK OF INDIA,2021,Q2,FY2021-Q2,13.8375,43.1514,13.4289,150.3107,6.6015,-0.2321,0
CENTRAL BANK OF INDIA,2021,Q3,FY2021-Q3,14.5239,43.5975,12.9423,151.3501,6.1147,-0.2641,0
CENTRAL BANK OF INDIA,2021,Q4,FY2021-Q4,15.0322,43.9138,12.608,151.0,5.6488,-0.2717,0
CENTRAL BANK OF INDIA,2022,Q1,FY2022-Q1,14.3794,41.8659,12.6533,144.2946,4.9894,-0.0428,0
CENTRAL BANK OF INDIA,2022,Q2,FY2022-Q2,14.2719,39.8863,12.6249,141.342,4.6225,0.0736,0
CENTRAL BANK OF INDIA,2022,Q3,FY2022-Q3,14.1182,37.5763,12.6234,138.0183,4.2681,0.2029,0
CENTRAL BANK OF INDIA,2022,Q4,FY2022-Q4,14.0476,36.3117,12.6581,135.0,3.8866,0.3135,0
CENTRAL BANK OF INDIA,2023,Q1,FY2023-Q1,13.6596,38.1842,12.7885,130.7164,2.9551,0.3813,0
CENTRAL BANK OF INDIA,2023,Q2,FY2023-Q2,13.7753,38.5316,12.7249,129.309,2.4993,0.4195,0
CENTRAL BANK OF INDIA,2023,Q3,FY2023-Q3,14.0143,38.8289,12.6033,128.4721,2.0744,0.4401,0
CENTRAL BANK OF INDIA,2023,Q4,FY2023-Q4,14.3318,39.2253,12.5237,128.0,1.7328,0.4598,0
CENTRAL BANK OF INDIA,2024,Q1,FY2024-Q1,14.3759,38.248,12.633,127.413,1.4329,0.4873,0
CENTRAL BANK OF INDIA,2024,Q2,FY2024-Q2,14.6194,37.0008,12.59,127.2345,1.3023,0.5368,0
CENTRAL BANK OF INDIA,2024,Q3,FY2024-Q3,14.9252,35.1817,12.5093,127.1137,1.2374,0.595,0
CENTRAL BANK OF INDIA,2024,Q4,FY2024-Q4,15.3062,33.6921,12.4518,127.0,1.2042,0.6583,0
CENTRAL BANK OF INDIA,2025,Q1,FY2025-Q1,15.7007,33.1671,12.3301,126.2425,1.0146,0.7065,0
CENTRAL BANK OF INDIA,2025,Q2,FY2025-Q2,16.1015,32.1843,12.2028,125.9905,0.9399,0.7768,0
CENTRAL BANK OF INDIA,2025,Q3,FY2025-Q3,16.622,31.7853,11.9827,125.5933,0.7925,0.842,0
CENTRAL BANK OF INDIA,2025,Q4,FY2025-Q4,17.2753,32.8565,11.7262,125.0,0.5385,0.8987,0
CITY UNION BANK,2015,Q1,FY2015-Q1,17.6441,19.5606,8.4493,114.6447,1.2977,1.3723,0
CITY UNION BANK,2015,Q2,FY2015-Q2,17.2089,18.4307,8.756,116.049,1.2714,1.4403,0
CITY UNION BANK,2015,Q3,FY2015-Q3,16.9192,17.4518,8.9377,117.1481,1.264,1.5016,0
CITY UNION BANK,2015,Q4,FY2015-Q4,16.7678,16.9126,9.0615,118.0,1.2727,1.557,0
CITY UNION BANK,2016,Q1,FY2016-Q1,15.7828,17.1015,9.2492,119.563,1.4392,1.4316,0
CITY UNION BANK,2016,Q2,FY2016-Q2,15.6821,16.8694,9.2397,120.0952,1.4516,1.4791,0
CITY UNION BANK,2016,Q3,FY2016-Q3,15.6948,16.7102,9.1548,120.5548,1.4721,1.5241,0
CITY UNION BANK,2016,Q4,FY2016-Q4,15.8137,16.9126,9.0615,121.0,1.4979,1.5675,0
CITY UNION BANK,2017,Q1,FY2017-Q1,15.449,18.7486,8.9189,122.6889,1.667,1.4305,0
CITY UNION BANK,2017,Q2,FY2017-Q2,15.5727,19.0738,8.793,123.2798,1.6731,1.4741,0
CITY UNION BANK,2017,Q3,FY2017-Q3,15.7813,19.3752,8.643,124.0308,1.6764,1.5194,0
CITY UNION BANK,2017,Q4,FY2017-Q4,16.0674,19.9975,8.5325,125.0,1.6741,1.5675,0
CITY UNION BANK,2018,Q1,FY2018-Q1,15.8671,21.998,8.4889,127.6875,1.7537,1.465,0
CITY UNION BANK,2018,Q2,FY2018-Q2,16.0697,22.4127,8.4179,128.8606,1.7205,1.5257,0
CITY UNION BANK,2018,Q3,FY2018-Q3,16.2792,22.4326,8.3278,129.7284,1.689,1.5941,0
CITY UNION BANK,2018,Q4,FY2018-Q4,16.4633,22.3052,8.2582,130.0,1.6643,1.672,0
CITY UNION BANK,2019,Q1,FY2019-Q1,15.7306,21.6518,8.221,128.9298,1.7786,1.5761,0
CITY UNION BANK,2019,Q2,FY2019-Q2,15.6734,20.7524,8.1391,128.1529,1.7578,1.6554,0
CITY UNION BANK,2019,Q3,FY2019-Q3,15.6717,19.9615,8.0431,127.6495,1.7547,1.7077,0
CITY UNION BANK,2019,Q4,FY2019-Q4,15.7832,20.0477,7.9936,128.0,1.772,1.7138,0
CITY UNION BANK,2020,Q1,FY2020-Q1,15.7504,24.402,8.1102,134.112,2.0654,1.3034,0
CITY UNION BANK,2020,Q2,FY2020-Q2,16.0085,25.7965,8.106,136.7029,2.0987,1.2027,0
CITY UNION BANK,2020,Q3,FY2020-Q3,16.4305,27.1992,8.0744,139.8173,2.1574,1.1051,0
CITY UNION BANK,2020,Q4,FY2020-Q4,17.0114,28.7056,8.0452,143.0,2.2419,1.045,0
CITY UNION BANK,2021,Q1,FY2021-Q1,17.828,31.0352,8.0299,148.2159,2.6939,0.9656,0
CITY UNION BANK,2021,Q2,FY2021-Q2,18.4642,31.2152,7.9499,150.3107,2.773,1.0227,0
CITY UNION BANK,2021,Q3,FY2021-Q3,19.1453,30.7726,7.8519,151.3501,2.8494,1.1086,0
CITY UNION BANK,2021,Q4,FY2021-Q4,19.8128,30.3779,7.8062,151.0,2.9076,1.2017,0
CITY UNION BANK,2022,Q1,FY2022-Q1,19.9885,29.7071,7.9817,144.2946,3.0891,1.1978,0
CITY UNION BANK,2022,Q2,FY2022-Q2,20.3462,28.8516,8.005,141.342,3.0502,1.2757,0
CITY UNION BANK,2022,Q3,FY2022-Q3,20.7231,27.8367,8.0036,138.0183,2.9824,1.3456,0
CITY UNION BANK,2022,Q4,FY2022-Q4,21.1628,27.2644,7.9997,135.0,2.8881,1.4108,0
CITY UNION BANK,2023,Q1,FY2023-Q1,21.2529,27.0512,7.95,130.7164,2.7397,1.3396,0
CITY UNION BANK,2023,Q2,FY2023-Q2,21.6432,26.5758,7.8627,129.309,2.5887,1.4038,0
CITY UNION BANK,2023,Q3,FY2023-Q3,22.1211,25.87,7.7289,128.4721,2.4408,1.4659,0
CITY UNION BANK,2023,Q4,FY2023-Q4,22.6751,25.247,7.6092,128.0,2.3104,1.5257,0
CITY UNION BANK,2024,Q1,FY2024-Q1,22.7552,23.2015,7.4647,127.413,2.2092,1.4231,0
CITY UNION BANK,2024,Q2,FY2024-Q2,23.1636,21.9413,7.3568,127.2345,2.1078,1.48,0
CITY UNION BANK,2024,Q3,FY2024-Q3,23.612,20.5006,7.2352,127.1137,2.0175,1.535,0
CITY UNION BANK,2024,Q4,FY2024-Q4,24.086,19.3865,7.1438,127.0,1.9286,1.5884,0
CITY UNION BANK,2025,Q1,FY2025-Q1,23.5803,19.0029,7.0943,126.2425,1.7043,1.4657,0
CITY UNION BANK,2025,Q2,FY2025-Q2,23.7778,18.4183,7.024,125.9905,1.5778,1.5177,0
CITY UNION BANK,2025,Q3,FY2025-Q3,23.9579,18.271,6.9443,125.5933,1.4209,1.5689,0
CITY UNION BANK,2025,Q4,FY2025-Q4,24.1062,19.0622,6.898,125.0,1.2237,1.6197,0
CSB BANK,2015,Q1,FY2015-Q1,17.3173,27.3116,11.6061,114.6447,5.3707,2.4376,0
CSB BANK,2015,Q2,FY2015-Q2,14.368,31.5737,13.7908,116.049,4.5859,1.1809,0
CSB BANK,2015,Q3,FY2015-Q3,12.3628,34.2134,15.2278,117.1481,4.0647,0.2652,0
CSB BANK,2015,Q4,FY2015-Q4,11.165,36.0911,16.1217,118.0,3.7692,-0.3553,0
CSB BANK,2016,Q1,FY2016-Q1,10.0459,38.0669,16.7745,119.563,4.0474,-0.8336,0
CSB BANK,2016,Q2,FY2016-Q2,9.9172,37.9328,16.807,120.0952,4.0332,-1.0186,0
CSB BANK,2016,Q3,FY2016-Q3,10.1836,36.9874,16.5212,120.5548,4.1326,-1.0459,0
CSB BANK,2016,Q4,FY2016-Q4,10.7082,36.0911,16.1217,121.0,4.3076,-0.9614,0
CSB BANK,2017,Q1,FY2017-Q1,11.372,34.7609,15.5263,122.6889,5.1175,-0.4632,0
CSB BANK,2017,Q2,FY2017-Q2,11.8854,33.5134,15.128,123.2798,5.2572,-0.2645,0
CSB BANK,2017,Q3,FY2017-Q3,12.2511,32.2913,14.8447,124.0308,5.3621,-0.0913,0
CSB BANK,2017,Q4,FY2017-Q4,12.3322,31.8782,14.8733,125.0,5.3943,0.0104,0
CSB BANK,2018,Q1,FY2018-Q1,10.9089,35.547,15.9307,127.6875,5.2813,-0.1466,0
CSB BANK,2018,Q2,FY2018-Q2,10.3583,36.1644,16.3748,128.8606,5.0643,-0.2551,0
CSB BANK,2018,Q3,FY2018-Q3,9.9755,37.303,16.6109,129.7284,4.7556,-0.4216,0
CSB BANK,2018,Q4,FY2018-Q4,10.0586,39.7561,16.4719,130.0,4.3663,-0.6165,0
CSB BANK,2019,Q1,FY2019-Q1,12.3602,48.0442,14.1416,128.9298,3.4472,-0.8768,0
CSB BANK,2019,Q2,FY2019-Q2,13.5976,50.7769,12.9983,128.1529,2.9737,-1.0534,0
CSB BANK,2019,Q3,FY2019-Q3,15.1979,52.1108,11.6733,127.6495,2.5452,-1.1653,0
CSB BANK,2019,Q4,FY2019-Q4,16.9505,52.0015,10.5003,128.0,2.2223,-1.1808,0
CSB BANK,2020,Q1,FY2020-Q1,19.618,44.6149,9.1774,134.112,2.0517,-0.6396,0
CSB BANK,2020,Q2,FY2020-Q2,20.9882,40.1514,8.6777,136.7029,1.9621,-0.4221,0
CSB BANK,2020,Q3,FY2020-Q3,22.0863,35.4277,8.4242,139.8173,1.921,-0.1691,0
CSB BANK,2020,Q4,FY2020-Q4,22.7969,32.5387,8.4079,143.0,1.8699,0.0732,0
CSB BANK,2021,Q1,FY2021-Q1,21.8149,34.8433,8.9645,148.2159,1.6283,0.4957,0
CSB BANK,2021,Q2,FY2021-Q2,21.6017,35.8721,9.1595,150.3107,1.4732,0.6836,0
CSB BANK,2021,Q3,FY2021-Q3,21.4634,37.0955,9.3065,151.3501,1.303,0.8562,0
CSB BANK,2021,Q4,FY2021-Q4,21.6906,37.9469,9.3763,151.0,1.1454,1.0345,0
CSB BANK,2022,Q1,FY2022-Q1,22.8943,34.9199,9.0969,144.2946,0.9261,1.346,0
CSB BANK,2022,Q2,FY2022-Q2,23.8893,32.6355,8.8802,141.342,0.8264,1.5785,0
CSB BANK,2022,Q3,FY2022-Q3,25.0968,29.7608,8.5823,138.0183,0.7433,1.7982,0
CSB BANK,2022,Q4,FY2022-Q4,26.2885,27.6337,8.321,135.0,0.6657,1.9855,0
CSB BANK,2023,Q1,FY2023-Q1,26.5376,27.4396,8.105,130.7164,0.516,1.9382,0
CSB BANK,2023,Q2,FY2023-Q2,27.0171,27.0991,7.9773,129.309,0.4395,2.0401,0
CSB BANK,2023,Q3,FY2023-Q3,27.328,27.1543,7.8796,128.4721,0.3781,2.1085,0
CSB BANK,2023,Q4,FY2023-Q4,27.5065,27.7703,7.8464,128.0,0.3426,2.1527,0
CSB BANK,2024,Q1,FY2024-Q1,25.6956,29.9556,8.0789,127.413,0.4111,1.865,0
CSB BANK,2024,Q2,FY2024-Q2,25.3942,30.1911,8.1047,127.2345,0.4279,1.8738,0
CSB BANK,2024,Q3,FY2024-Q3,25.0909,30.1064,8.1365,127.1137,0.4608,1.8745,0
CSB BANK,2024,Q4,FY2024-Q4,24.837,30.2432,8.2256,127.0,0.4993,1.8705,0
CSB BANK,2025,Q1,FY2025-Q1,23.0771,30.8129,8.8255,126.2425,0.5635,1.574,0
CSB BANK,2025,Q2,FY2025-Q2,22.7698,30.4552,8.9801,125.9905,0.575,1.5617,0
CSB BANK,2025,Q3,FY2025-Q3,22.6593,29.746,9.143,125.5933,0.5604,1.555,0
CSB BANK,2025,Q4,FY2025-Q4,22.7969,29.2078,9.3721,125.0,0.5091,1.557,0
DCB BANK,2015,Q1,FY2015-Q1,13.1891,25.367,9.8681,114.6447,1.5278,1.3158,0
DCB BANK,2015,Q2,FY2015-Q2,14.1153,25.1846,9.4435,116.049,1.2997,1.3716,0
DCB BANK,2015,Q3,FY2015-Q3,14.7576,24.8095,9.1138,117.1481,1.1219,1.4091,0
DCB BANK,2015,Q4,FY2015-Q4,15.1742,24.7093,8.9151,118.0,0.9888,1.4316,0
DCB BANK,2016,Q1,FY2016-Q1,14.5539,25.3518,8.9374,119.563,0.8649,1.2193,0
DCB BANK,2016,Q2,FY2016-Q2,14.51,25.1041,8.8938,120.0952,0.7965,1.2144,0
DCB BANK,2016,Q3,FY2016-Q3,14.4131,24.734,8.8743,120.5548,0.7548,1.204,0
DCB BANK,2016,Q4,FY2016-Q4,14.3216,24.7093,8.9151,121.0,0.7342,1.1913,0
DCB BANK,2017,Q1,FY2017-Q1,13.6005,25.9502,9.2157,122.6889,0.7825,0.9891,0
DCB BANK,2017,Q2,FY2017-Q2,13.5235,25.9058,9.2691,123.2798,0.7773,0.9751,0
DCB BANK,2017,Q3,FY2017-Q3,13.626,25.8007,9.2748,124.0308,0.7761,0.9683,0
DCB BANK,2017,Q4,FY2017-Q4,13.9664,26.1287,9.2711,125.0,0.7734,0.9718,0
DCB BANK,2018,Q1,FY2018-Q1,14.7753,27.9161,9.3333,127.6875,0.7846,0.879,0
DCB BANK,2018,Q2,FY2018-Q2,15.4057,28.1469,9.264,128.8606,0.7619,0.9063,0
DCB BANK,2018,Q3,FY2018-Q3,16.0941,28.0227,9.1829,129.7284,0.7348,0.9417,0
DCB BANK,2018,Q4,FY2018-Q4,16.717,27.8925,9.1807,130.0,0.7049,0.9823,0
DCB BANK,2019,Q1,FY2019-Q1,16.5912,26.9596,9.6255,128.9298,0.6908,0.9252,0
DCB BANK,2019,Q2,FY2019-Q2,16.7532,25.9783,9.7437,128.1529,0.6585,0.9682,0
DCB BANK,2019,Q3,FY2019-Q3,16.8841,24.8022,9.8416,127.6495,0.6382,1.006,0
DCB BANK,2019,Q4,FY2019-Q4,17.0622,24.0981,9.9407,128.0,0.6364,1.0345,0
DCB BANK,2020,Q1,FY2020-Q1,16.9181,24.6924,10.0896,134.112,0.8606,0.9101,0
DCB BANK,2020,Q2,FY2020-Q2,17.1438,24.5112,10.0653,136.7029,0.9026,0.9181,0
DCB BANK,2020,Q3,FY2020-Q3,17.5081,24.4131,9.9515,139.8173,0.991,0.9261,0
DCB BANK,2020,Q4,FY2020-Q4,18.0162,24.7626,9.8111,143.0,1.1356,0.9405,0
DCB BANK,2021,Q1,FY2021-Q1,18.4676,26.9647,9.5354,148.2159,1.773,0.8497,0
DCB BANK,2021,Q2,FY2021-Q2,18.9849,27.2608,9.3387,150.3107,1.9645,0.8775,0
DCB BANK,2021,Q3,FY2021-Q3,19.5088,27.4332,9.1423,151.3501,2.1413,0.9003,0
DCB BANK,2021,Q4,FY2021-Q4,19.9651,27.9849,9.0409,151.0,2.2615,0.9091,0
DCB BANK,2022,Q1,FY2022-Q1,19.2584,30.1336,9.3176,144.2946,2.3075,0.7514,0
DCB BANK,2022,Q2,FY2022-Q2,19.2634,30.4241,9.3778,141.342,2.2373,0.7297,0
DCB BANK,2022,Q3,FY2022-Q3,19.228,30.3294,9.4388,138.0183,2.1048,0.7176,0
DCB BANK,2022,Q4,FY2022-Q4,19.2038,30.2843,9.519,135.0,1.9286,0.7315,0
DCB BANK,2023,Q1,FY2023-Q1,18.0451,29.5789,9.8143,130.7164,1.5339,0.7669,0
DCB BANK,2023,Q2,FY2023-Q2,17.9051,28.6914,9.8327,129.309,1.3285,0.8495,0
DCB BANK,2023,Q3,FY2023-Q3,17.8272,27.4791,9.8241,128.4721,1.1479,0.9379,0
DCB BANK,2023,Q4,FY2023-Q4,17.8132,26.5614,9.8738,128.0,1.0182,1.0136,0
DCB BANK,2024,Q1,FY2024-Q1,16.8525,25.5065,10.434,127.413,1.0368,0.9362,0
DCB BANK,2024,Q2,FY2024-Q2,16.7637,24.6578,10.571,127.2345,1.0208,0.961,0
DCB BANK,2024,Q3,FY2024-Q3,16.7561,23.7887,10.7058,127.1137,1.0438,0.9703,0
DCB BANK,2024,Q4,FY2024-Q4,16.8388,23.3308,10.8926,127.0,1.0867,0.9718,0
DCB BANK,2025,Q1,FY2025-Q1,16.3763,23.6556,11.6159,126.2425,1.1934,0.8516,0
DCB BANK,2025,Q2,FY2025-Q2,16.4696,23.3339,11.802,125.9905,1.2051,0.8597,0
DCB BANK,2025,Q3,FY2025-Q3,16.6816,23.0196,11.9356,125.5933,1.1791,0.8833,0
DCB BANK,2025,Q4,FY2025-Q4,17.0215,23.1413,12.0779,125.0,1.0965,0.93,0
DHANLAXMI BANK,2015,Q1,FY2015-Q1,14.0661,15.7707,15.9085,114.6447,3.2187,1.2176,0
DHANLAXMI BANK,2015,Q2,FY2015-Q2,12.1935,26.9962,19.1122,116.049,3.2785,-0.2082,0
DHANLAXMI BANK,2015,Q3,FY2015-Q3,10.7605,34.4349,21.2941,117.1481,3.2744,-1.2109,0
DHANLAXMI BANK,2015,Q4,FY2015-Q4,9.7338,39.3187,22.7109,118.0,3.2209,-1.8496,0
DHANLAXMI BANK,2016,Q1,FY2016-Q1,8.0785,42.8795,23.7565,119.563,3.1451,-1.9305,0
DHANLAXMI BANK,2016,Q2,FY2016-Q2,7.6373,43.0064,23.8653,120.0952,3.0063,-2.0143,0
