bank_name,year,quarter,fiscal_quarter,car,cost_to_income,debt_to_equity,liquidity_coverage,npa_ratio,roa,crisis_label
AU SMALL FINANCE BANK,2021,Q4,FY2021-Q4,23.7206,30.6349,6.8127,151.0,2.1342,2.6125,0
AU SMALL FINANCE BANK,2022,Q1,FY2022-Q1,21.9643,32.1895,7.2763,144.2955,1.5405,2.1709,0
AU SMALL FINANCE BANK,2022,Q2,FY2022-Q2,21.5084,32.1654,7.4692,141.3428,1.2044,2.1038,0
AU SMALL FINANCE BANK,2022,Q3,FY2022-Q3,21.2098,31.7445,7.6488,138.0188,0.8131,2.016,0
AU SMALL FINANCE BANK,2022,Q4,FY2022-Q4,21.3048,31.4799,7.7487,135.0,0.4895,1.9542,0
AU SMALL FINANCE BANK,2023,Q1,FY2023-Q1,21.8099,31.1215,7.5069,130.7162,0.3279,1.7079,0
AU SMALL FINANCE BANK,2023,Q2,FY2023-Q2,22.554,30.3409,7.3011,129.3088,0.2955,1.7505,0
AU SMALL FINANCE BANK,2023,Q3,FY2023-Q3,23.3612,29.3802,7.0387,128.4719,0.3419,1.8134,0
AU SMALL FINANCE BANK,2023,Q4,FY2023-Q4,23.9438,28.8866,6.8513,128.0,0.4112,1.8705,0
AU SMALL FINANCE BANK,2024,Q1,FY2024-Q1,22.0858,29.6925,7.0394,127.4131,0.5232,1.6233,0
AU SMALL FINANCE BANK,2024,Q2,FY2024-Q2,21.6034,29.4493,7.0832,127.2346,0.5393,1.6258,0
AU SMALL FINANCE BANK,2024,Q3,FY2024-Q3,20.967,29.2258,7.1783,127.1138,0.5414,1.6176,0
AU SMALL FINANCE BANK,2024,Q4,FY2024-Q4,20.3609,29.5413,7.3335,127.0,0.5384,1.6093,0
AU SMALL FINANCE BANK,2025,Q1,FY2025-Q1,19.1269,32.2847,7.7672,126.2425,0.6311,1.4241,0
AU SMALL FINANCE BANK,2025,Q2,FY2025-Q2,18.8937,32.6852,7.8902,125.9904,0.6359,1.4471,0
AU SMALL FINANCE BANK,2025,Q3,FY2025-Q3,19.2436,33.0035,7.9207,125.5932,0.664,1.5018,0
AU SMALL FINANCE BANK,2025,Q4,FY2025-Q4,20.3609,33.8372,7.8708,125.0,0.7245,1.5988,0
AXIS BANK,2015,Q1,FY2015-Q1,12.4028,38.1682,9.9102,114.6447,1.1222,0.8185,0
AXIS BANK,2015,Q2,FY2015-Q2,13.6692,31.3187,9.3961,116.049,0.8092,1.3055,0
AXIS BANK,2015,Q3,FY2015-Q3,14.6218,26.1884,9.0028,117.1481,0.5872,1.6654,0
AXIS BANK,2015,Q4,FY2015-Q4,15.3164,22.9934,8.7627,118.0,0.4503,1.9124,0
